EVTNAME46306;;
EVTDESC46306;x;
EVT44151OPTA;округ Колумбия;
EVT44151OPTB;По мере того, как американские и британские поселенцы начинают переселяться на западное побережье Северной Америки, разгораются споры о том, кому принадлежит округ Колумбия. Весь регион к западу от Скалистых гор (называемый американцами Страной Орегона) был исследован обеими странами, и обе стороны имеют законные претензии. Британцы претендуют на юг до 42-й параллели, а американцы — на север до 54-й параллели. Ситуация накалена, и ее усугубляют ура-патриотические американские политики, призывающие к суверенитету над всем континентом. Тем не менее, американское правительство направило делегацию для поиска компромисса в регионе.;
EVTNAME44152;Мы согласны разделить территорию между собой.;
EVTDESC44152;Мы не позволим бывшей колонии угрожать нашим интересам.;
EVT44152OPTA;Орегонский договор;
EVTNAME44153;Британцы согласились на компромисс, разделив между нами страну Орегон по 49-й параллели. Любые британские земли, которыми мы владеем, будут переданы им, и наоборот. Хотя некоторые американцы расстроены, многие другие вздохнули с облегчением.;
EVTDESC44153;Это решит вопрос раз и навсегда.;
EVT44153OPTA;Переговоры в Орегоне провалились;
EVT44153OPTB;Переговоры с британцами сорваны, прежде всего из-за непрекращающихся призывов воинственно настроенных политиков. Ни один из наших вариантов сейчас не очень приятный: либо мы отказываемся от своих притязаний на Орегон, независимо от того, что некоторые могут подумать, либо мы настаиваем на претензиях и готовимся к возможной войне.;
EVTNAME44154;Отказаться от наших претензий.;
EVTDESC44154;Продолжайте настаивать на наших претензиях.;
EVTNAME44155;Американские претензии в Колумбии;
EVT44154OPTA;По мере того, как американские и британские поселенцы начинают переселяться на западное побережье Северной Америки, разгораются споры о том, кому принадлежит округ Колумбия. Весь регион к западу от Скалистых гор (называемый американцами Страной Орегона) был исследован обеими странами, и обе стороны имеют законные претензии. В последнее время ситуация усугубляется американскими политиками, бряцающими саблями из-за своей идеи «Явной судьбы», и они настаивают на своих притязаниях на всем пути на север до 54-й параллели. Это почти наверняка будет означать войну, и единственное, о чем мы должны думать, вероятно, должно заключаться в том, хотим ли мы вести еще одну дорогостоящую войну с американцами в Северной Америке, когда наше время лучше было бы потратить в другом месте.;
EVT44154OPTB;Страна Орегон наша;
EVTDESC44155;Пусть у них будет Колумбия. Бороться за это не стоит.;
EVT44155OPTA;Мы не позволим бывшей колонии угрожать нашим интересам.;
EVTNAME44156;Британцы решили уйти из Орегона и подписали договор о передаче нам всех американских земель.;
EVTDESC44156;Грандиозный день для Manifest Destiny!;
EVT44156OPTA;Компромисс вдоль реки Колумбия;
EVT44156OPTB;Напряженность вокруг округа Колумбия, казалось, сошла на нет, поскольку готовность Америки к компромиссу стала очевидной для британских дипломатов во время переговоров. Похоже, нам удалось заключить выгодное соглашение, которое разделит округ Колумбия вдоль реки Колумбия и положит конец большинству споров по поводу территории.;
EVTNAME95026;Все хорошо, что хорошо кончается.;
EVTDESC95026;Соединенное Королевство требует Колумбии целиком!;
EVT95026OPTA;Либерийская независимость;
EVT95026OPTB;Либерийская колония была основана Американским колонизационным обществом как родина для освобожденных американских рабов. Теперь, когда считается, что Либерия истощает свои ресурсы, ACS призывает Либерию провозгласить независимость и найти свою судьбу.;
EVTDESC95027;Провозгласить независимость.;
EVT95027OPTA;Мы ценим американскую защиту.;
EVT95027OPTB;Либерийская колония была основана Американским колонизационным обществом как родина для освобожденных американских рабов. Теперь, когда Либерия считается финансовым истоком ее ресурсов, ACS убедила Либерию потребовать независимости от правительства $COUNTRY_ADJ$.;
EVTNAME95028;Предоставьте им независимость.;
EVTDESC95028;Это не в наших интересах.;
EVT95028OPTA;$FROMCOUNTRY$ отказался;
EVTNAME44805;Несмотря на призывы АСГ, $FROMCOUNTRY_ADJ$ отказало $COUNTRY_ADJ$ в независимости.;
EVTDESC44805;Возмутительно!;
EVT44805OPTA;Антонио Лупес де Санта-Анна;
EVTNAME44810;Генерал и герой войны за независимость Мексики, Санта-Анна был избран президентом в 1833 году. После свержения своего либерального вице-президента Санта-Анна отменил Конституцию 1826 года и взял под свой контроль страну как консервативный диктатор при поддержке церкви и военных. Многие мексиканские штаты возражали против такой централизации власти, и с восстанием Техаса на севере вся страна оказалась в состоянии хаоса.;
EVTDESC44810;Мятежники будут поставлены на колени.;
EVT44810OPTA;Бунт в $STATENAME$;
EVTNAME44815;Недовольные в $STATENAME$ восстали наперекор правительству, требуя возврата к демократическому правлению!;
EVTDESC44815;Опять повстанческая мразь?!;
EVT44815OPTA;Техас снова захвачен!;
EVTNAME44820;Повстанческое государство Теджас было захвачено. Славная победа Мексики и удар по недовольным, которые стремятся посеять рознь и рознь!;
EVTDESC44820;Это научит их.;
EVT44820OPTA;Республика Рио-Гранде;
EVT44820OPTB;Вдохновленные успехом восстания в Теджасе, либеральные недовольные в провинциях вдоль реки Рио-Гранде восстали и объявили о своей независимости от Мексики.;
EVTNAME44821;Этого нельзя допустить!;
EVTDESC44821;Мы ничего не можем сделать.;
EVTNAME44822;Республика Юкатан;
EVTDESC44822;Возмущенные отменой Конституции 1824 года и централизацией государственной власти в Мехико, либералы Юкатана объявили о своей независимости.;
EVT44822OPTA;Присоединиться к Соединенным провинциям?;
EVT44822OPTB;В конце концов, мексиканское правительство придет за нашей страной и попытается снова включить ее в федерацию. Если мы хотим выжить, присоединение к Соединенным провинциям Центральной Америки может быть нашей единственной надеждой. Сделаем запрос?;
EVTNAME44825;Присоединяйся к ним.;
EVTDESC44825;Мы останемся независимыми.;
EVT44825OPTA;Договор Гваделупе-Идальго;
EVT44825OPTB;Поскольку наша столица находится под американским контролем, похоже, у нас нет иного выбора, кроме как вести переговоры. Американцы предложили нам сделку: нормализацию отношений, прощение нашего долга и выплату крупной суммы денег... и все это в обмен на уступку всех северных территорий, на которые в настоящее время претендует их страна. Если мы откажемся, это может означать для нас еще много лет войны, пока эти американцы не получат то, что хотят.;
EVTNAME44826;Мы соглашаемся на их предложение.;
EVTDESC44826;Мы отказываемся!;
EVT44826OPTA;$FROMCOUNTRY$ согласовал;
EVTNAME44827;$FROMCOUNTRY$ подписало договор Гваделупе-Идальго, передав под наш контроль всю территорию, на которую претендовали американцы. На данный момент отношения между нашими двумя странами могут нормализоваться.;
EVTDESC44827;Мудрый ход.;
EVT44827OPTA;$FROMCOUNTRY$ отказался;
EVTNAME44830;Правительство $FROMCOUNTRY_ADJ$, несмотря на то, что они были над образным стволом, отказалось капитулировать перед нашими требованиями. Тем хуже для них.;
EVTDESC44830;Глупый ход.;
EVT44830OPTA;Казнь императора Максимилиана;
EVTNAME44835;Император Максимилиан никогда не пользовался народной поддержкой в ??Мексике, и теперь, когда его захватили повстанцы во главе с Бенито Хурезом, кажется, что его правление подошло к концу. Преданный военному трибуналу и расстрелянный, новая республика была провозглашена всего через несколько дней после его смерти. Бенито Хурез стал президентом Мексики.;
EVTDESC44835;Это должно было случиться.;
EVT44835OPTA;План Тукстепека;
EVT44835OPTB;Порфирио Данас, генерал Мексики, которого некоторые считают героем, сверг демократическое правительство Мексики в результате военного переворота. Тайно спланированный с несколькими военными офицерами и объявленный в Оахаке, он отрекся от президентства Себастьяна Лердо де Техады и сделал Диаса поддерживаемым военными диктатором.;
EVTNAME44840;Никогда!;
EVTDESC44840;Приветствуем Эль Президенте!;
EVT44840OPTA;Санта-Анна в плену!;
EVT44840OPTB;Неожиданным событием стало то, что лидер Мексики — сам генерал Антонио де Санта-Анна — был схвачен. Найден бегущим по сельской местности при попытке сбежать обратно в Мексику, он был заключен в техасскую тюрьму и вынужден вести переговоры. Мы можем заставить этого человека согласиться на мирный договор — даже несмотря на то, что многие считают вероятность того, что собственная страна Санта-Анны согласится на условия, выдвинутые под давлением, незначительными, это может быть нашей единственной надеждой против превосходящих сил. По крайней мере, унижение, нанесенное их лидеру, станет ударом по мексиканскому правительству, от которого они не скоро оправятся.;
EVTDESC44841;Заставьте его подписать договор.;
EVT44841OPTA;Казнить его.;
EVT44841OPTB;Нанеся унизительный удар по престижу Мексики, генерал Санта-Анна был захвачен на территории Техаса, отделен от нашей армии и найден скитающимся по сельской местности в попытке вернуться в Мексику. Находясь в тюрьме, он согласился на ряд договоров, в которых среди прочих гарантий признавалась независимость Техаса... и все это в обмен на его благополучное возвращение. Теперь мы столкнулись с вопросом: хотя договоры ничего не стоят, их полное игнорирование может дать американцам повод для вмешательства. В любом случае, одно можно сказать наверняка: как архитектору этого фиаско, время Санта-Анны у власти подошло к концу.;
EVT44841OPTC;Соблюдайте договор и договоритесь о возвращении Санта-Анны.;
EVTNAME44842;Объявите о прекращении огня - пока.;
EVTDESC44842;Продолжить войну. Пусть американцы делают что хотят.;
EVT44842OPTA;Договоры Веласко;
EVTNAME44843;Хотя у Мексики были все основания отвергать договоры, подписанные Санта-Анной, похоже, их готовность продолжать войну против Техаса ослабла. Они больше не будут смущаться и согласились оставить нас на свободе в обмен на возвращение Санта-Анны. На данный момент это означает, что война с Мексикой окончена... Продлится ли этот мир, еще неизвестно.;
EVTDESC44843;Победа Техаса!;
EVT44843OPTA;Прекращение огня с Мексикой;
EVTNAME44844;Как и ожидалось, правительство Мексики опровергло договоры Веласко и отказалось вести переговоры о возвращении Санта-Анны. Однако они, очевидно, опасаются, что договоры имеют достаточно силы, чтобы их игнорирование дало американцам повод для вмешательства, и призвали к прекращению огня. Как долго это продлится, неизвестно, но пока у Техаса есть передышка.;
EVTDESC44844;Это придется сделать.;
EVT44844OPTA;Мексика игнорирует договоры;
EVT44844OPTB;Неудивительно, что Мексика проигнорировала условия договоров Веласко, утверждая, что Санта-Анна согласилась на них только под давлением. Действительно, сам Санта-Анна быстро поддержал их заявление, даже несмотря на свое шаткое положение. Единственный яркий свет в этом? Это может быть причиной того, что американское правительство ищет, чтобы вмешаться в нашу войну.;
EVTNAME44845;Обращение к американцам за помощью.;
EVTDESC44845;Мы будем бороться с этим самостоятельно.;
EVTNAME44846;Война с Мексикой!;
EVTDESC44846;Несмотря на гарантии, якобы предлагаемые договорами Веласко, мы снова оказываемся в состоянии войны с Мексикой. Перемирие, похоже, закончилось. Хотя многие в нашем правительстве никогда не ожидали, что Мексика так или иначе выполнит условия договоров, они предполагают, что это может быть достаточным поводом для вмешательства американцев. Такое вмешательство, конечно, будет означать приглашение волков через парадную дверь… но есть ли у нас другой выбор?;
EVT44846OPTA;Техасский дипломат;
EVT44846OPTB;Дипломат прибыл в Вашингтон из Техаса — части мексиканской границы, заселенной южанами, которым мексиканское правительство предложило землю и которые затем восстали против его тирании. Дипломат потребовал американского вмешательства в их войну, заявив, что с Мексикой был выработан договор, который они, конечно же, немедленно опровергли. Это кажется зыбкой почвой… но разве мы поворачиваемся к ней спиной?;
EVTNAME11002;Скажи им, что мы сделаем все, что сможем.;
EVTDESC11002;Они сами по себе.;
EVTOPTA11002;Выступление $MONARCHTITLE$;
EVTOPTB11002;В этот тяжкий час, возможно, самый судьбоносный в нашей истории, я посылаю в каждый дом моих народов, как дома, так и за границей, это послание, сказанное с таким же глубоким чувством к каждому из вас, как если бы я мог пересечь ваш порог и говорить с вами сам. С великой целью я призываю теперь мой народ дома и мои народы за морями, которые сделают наше дело своим делом. Я прошу их сохранять спокойствие, твердость и единство в это время испытаний.\n$COUNTRY_ADJ$ $MONARCHTITLE$ выступила сегодня в $CAPITAL$ со страстной речью, что является началом кампании по сбору поддержки среди населения и правительства для их цели...;
EVTNAME11001;...заручиться поддержкой войны.;
EVTDESC11001;...повышение популярности правительства.;
EVTOPTA11001;Роспуск верхней палаты $COUNTRY_ADJ$;
EVTOPTB11001;Министры и чиновники, прибывшие сегодня в $CAPITAL$, обнаружили у дверей правительства королевский указ: монарх $COUNTRY_ADJ$ распустил верхнюю палату $COUNTRY_ADJ$, вступившую в силу немедленно, а новый должен быть избран монархом. Новость потрясла дворянство $COUNTRY_ADJ$, привыкшее к редким заменам, но не в такой ошеломляющей и резкой степени. Недовольство свирепствует, и многие предполагают (за закрытыми дверями), что монарх настраивает мелких дворян, в основном подхалимов и подхалимов, для исполнения прихотей короны. Несколько старых слуг короны в знати сохранили свои должности, чтобы обучать и направлять новоприбывших, но уже есть свидетельства длительных потрясений в государственных делах. В новой верхней палате должно быть большинство...;
EVTOPTC11001;... либеральные дворяне.;
EVTNAME96100;... реакционные аристократы.;
EVTDESC96100;... социалистически настроенные дворяне.;
EVT96100OPTA;Арабское восстание;
EVT96100OPTB;Среди машриков начала распространяться волна национализма, подогреваемая их недовольством правлением $COUNTRY_ADJ$. Наши губернаторы в регионе по понятным причинам нервничают и сообщают, что мы можем ожидать крупных восстаний в ближайшие годы, если мы не будем очень осторожны.;
EVTNAME96101;Положите их.;
EVTDESC96101;Может быть, самоуправление сделает их счастливыми?;
EVT96101OPTA;$COUNTRY_ADJ$ Самоуправление;
EVTDESC96102;Нам даровано самоуправление нашими правителями $FROMCOUNTRY_ADJ$.;
EVT96102OPTA;Они думают, что это сделает нас счастливыми?;
EVTNAME96105;Арабское восстание началось, и многие люди в $CAPITAL$ несут флаг восстания. Они требуют свободы от чужеземного господства, и нам будет трудно держать их под контролем... если, конечно, мы этого хотим.;
EVTDESC96105;Мы увидим.;
EVT96105OPTA;Конец арабского восстания;
EVTNAME96106;Всеобщий мятеж арабского населения $COUNTRY$ прекращен. На данный момент мир был восстановлен, и импульс арабского сопротивления прекратился.;
EVTDESC96106;Отличные новости!;
EVT96106OPTA;Арабское восстание в $PROVINCENAME$;
EVT96106OPTB;Мы получили известие о восстании, которое произошло в $PROVINCENAME$. Группа соплеменников Машрики напала на местный гарнизон $COUNTRY_ADJ$ и была быстро подавлена. Губернатор $PROVINCENAME$ считал обязательным демонстрировать их тела, надеясь, что это оттолкнет других от подражания. Это не так. Арабское возмущение раздувается по всему $STATENAME$.;
EVTNAME96110;Выговор губернатору. Это не может выйти из-под контроля.;
EVTDESC96110;Положи это быстро.;
EVT96110OPTA;Дом Сауда возвращается;
EVTNAME96115;Абдул-Азиз, потомок Дома Саудов, вернулся из ссылки в Кувейте. Мало того, этому человеку удалось заключить союз с южными бедуинскими племенами и отвоевать Эр-Рияд. Мы должны быстро разобраться с ибн Саудом, иначе он отвоюет еще больше земель и не изменит нашу предыдущую победу над его домом.;
EVTDESC96115;Бесплодный бунт против нашего правления.;
EVT96115OPTA;Правило Хиджаза;
EVT96115OPTB;Мы всегда разрывались между нашей верностью Египту и Османской империи. Пришло время выбирать между ними.;
EVTNAME96120;Мы больше боимся османов.;
EVTDESC96120;Мы на стороне Египта.;
EVT96120OPTA;Дом Рашида;
EVTNAME96121;Дом Сауда никогда не объединит Аравию, пока на нашей северной границе стоит эмират Хаиль. Мы должны собрать наши силы и поставить их на колени.;
EVTDESC96121;Так и должно быть!;
EVT96121OPTA;Дом Сауда;
EVTNAME97170;Дом Рашидов никогда не объединит Аравию, пока эмират Неджд стоит на нашей южной границе. Мы должны собрать наши силы и поставить их на колени.;
EVTDESC97170;Так и должно быть!;
EVT97170OPTA;Восстание махдистов;
EVTNAME97171;В неспокойной атмосфере модернизации Судана Мухаммад Ахмад ибн ас Сайид Абдаллах, факир и религиозный лидер, провозгласил себя Махди (или «ведомый»). Сын строителя лодок из Донгола, Мухаммад Ахмад стал учеником Мухаммада аш Шарифа, главы ордена Саммания. Теперь, сочетая личный магнетизм с религиозным фанатизмом, он начал войну за объединение племен западного и центрального Судана, полных решимости изгнать нас и вернуть исламу его первозданную чистоту. В то время как местное правительство в Хартуме сначала уволило этого человека, дальнейшие сообщения указывают на то, что Махди обладает большим магнетизмом, и его сплоченный призыв изгнать все иностранное присутствие из Судана принес ему большое количество сторонников. Эти махдисты могут оказаться серьезной угрозой, особенно если они захватят Хартум.;
EVTDESC97171;Хартум может не пасть.;
EVT97171OPTA;Махдисты в $PROVINCENAME$;
EVTNAME98725;Последователи Махди снова нанесли удар, на этот раз в провинции $PROVINCENAME$. Джихад религиозного лидера против иностранцев спровоцировал местное восстание, которое властям было трудно подавить.;
EVTDESC98725;Немедленно подавить восстание!;
EVT98725OPTA;Призыв к арабскому единству;
EVTNAME95260;Призыв раздался по всему миру: поднялась нация, чтобы вести арабские массы в будущее, великая держава, способная противостоять натиску колониализма со стороны европейских держав. Они должны подняться и присоединиться к $COUNTRY$, или навсегда провести свою жизнь в качестве слуг иностранных господ.;
EVTDESC95260;Мы возглавим арабский мир!;
EVT95260OPTA;Разъединенные штаты;
EVTNAME95261;С концом демократического правительства Соединенных Штатов среди многих американцев растет чувство, что принципы, на которых была основана страна, больше не применимы. Разговоры об отделении часты, хотя и тихие, и по мере роста беспорядков становится все более вероятным, что либерально настроенные государства попытаются выйти из Союза. Если они это сделают, мы должны быть готовы.;
EVTDESC95261;Неприемлемо!;
EVT95261OPTA;Сыны свободы;
EVT95261OPTB;В $PROVINCENAME$ тайно сформировалась группа, именующая себя «Сыны свободы», выступающая либо за свержение тоталитарного американского режима, либо за выход $STATENAME$ из Союза. Американские правоохранительные органы делают все возможное, чтобы выследить этих предателей.;
EVTNAME95262;Сделайте все возможное, чтобы раздавить их.;
EVTDESC95262;Охотьтесь на них... тихо.;
EVT95262OPTA;Союз возрождается!;
EVTNAME95265;С окончанием тоталитарного режима американцы вышли на улицы, чтобы отпраздновать обретенные свободы. Флаги Сынов Свободы повсюду. Будем надеяться, что эта новая эра сохранится и что Союз уже не разрушен без возможности восстановления.;
EVTDESC95265;Отцы-основатели были бы горды.;
EVTNAME95266;Филадельфийская конвенция;
EVTDESC95266;«В этот день в год нашего господина, $YEAR$, мы объявляем Союз прекратившим свое существование, пережитком прошлого, теперь лишь тенью его былого величия. Настоящим мы, делегаты, объявляем себя наследниками этого когда-то великого наследия, и мы навсегда будем известны как Свободные Штаты Америки». \n \n С этими словами делегаты нескольких северных штатов собрались в Филадельфии и заявили о своем выходе из Союза. Сможем ли мы двигаться достаточно быстро, чтобы гарантировать, что эти государства никогда не будут действовать в соответствии с декларацией, или же другие прислушаются к призыву этих так называемых «свободных государств», еще неизвестно.;
EVT95266OPTA;Съезд $STATENAME$;
EVTNAME95267;В $PROVINCENAME$ собралась группа политиков, издав декларацию о том, что государство $STATENAME$ тем самым выходит из Союза и объединяется со Свободными Штатами Америки.;
EVTDESC95267;Возмущение!;
EVTDESC95268;Новая Конфедерация;
EVTNAME95269;«В то время как когда-то была разрушена мечта о нашей законной независимости, мы стоим здесь, в городе Ричмонд, чтобы заявить, что она возродилась. Юг больше не может оставаться под пятой Севера и называть это свободой — Конфедерация должна снова подняться! \n \n Этими словами большая группа делегатов, собравшихся в Ричмонде, провозгласила возрождение Конфедеративных Штатов Америки. По крайней мере, одно государство согласилось отделиться, и не исключено, что к ним присоединятся другие… сейчас или очень скоро. Если мы хотим остановить это новое восстание, нам нужно действовать быстро.;
EVTDESC95269;В $PROVINCENAME$ собралась группа политиков, издав декларацию о том, что штат $STATENAME$ настоящим выходит из Союза и присоединяется к Конфедеративным Штатам Америки.;
EVTDESC95270;Отделение Орегона;
EVTNAME95271;«Если когда-то наша земля была границей Америки, то теперь это граница свободы. Страна Орегон — это земля, где люди достигают своей судьбы честным трудом и верой в равенство людей. Поскольку Союз больше не верит в то же самое, мы объявляем его мертвым». \n \n Этими словами группа делегатов, собравшихся в городе Портленд, объявила о выходе штата Орегон из Союза. Хотя к ним могут присоединиться и другие части региона, неизвестно, все ли там чувствуют то же самое. Ясно, что это восстание должно быть остановлено, прежде чем оно получит дальнейшее развитие.;
EVTDESC95271;В $PROVINCENAME$ собралась группа политиков, опубликовавших заявление о том, что штат $STATENAME$ настоящим выходит из Союза и присоединяется к Стране Орегон.;
EVTDESC95272;Колорадская конвенция;
EVTNAME95273;«Мы — истинное сердце Америки. Мы знаем то, что забыл Вашингтон: ценность честности, потребность в добродетели и истинное значение свободы. То, что они отложили, мы возьмем и будем хранить близко к сердцу, а пока рождается новый народ. Республика, которая выдержит испытание временем, чего не выдержала нация, от которой мы отдалились». \n \n Этими словами группа делегатов, собравшихся в городе Денвере, провозгласила создание Республики Колорадо. Еще неизвестно, присоединятся ли к их восстанию другие государства.;
EVTDESC95273;В $PROVINCENAME$ собралась группа политиков, опубликовавших декларацию о том, что штат $STATENAME$ настоящим выходит из Союза и присоединяется к Республике Колорадо.;
EVTDESC95274;Чикагская конвенция;
EVTNAME95275;«Что дураки в Вашингтоне забыли, так это то, что мы не их подданные. Мы их союзники. Если нас оскорбляют, мы не лежим и не просим прощения. Мы уходим. Именно это мы и делаем здесь сегодня: мы создаем новый союз равных, братьев с общим наследием, которые никогда не забудут зло, кроющееся в тирании и коррупции». \n \n Этими словами группа делегатов, собравшихся в городе Чикаго, объявила о создании «Нового американского альянса». Штат Иллинойс вышел из Союза, чтобы создать его, и вполне возможно, что другие присоединятся к ним, если мы не будем действовать быстро.;
EVTDESC95275;В $PROVINCENAME$ собралась группа политиков, издав декларацию о том, что государство $STATENAME$ настоящим выходит из Союза и присоединяется к Новому американскому альянсу.;
EVTDESC95276;Республика Дакота;
EVTNAME95277;«Наша нация рождена решимостью. Правительство Вашингтона думало, что оно может протянуть руку через всю Северную Америку, что все, к чему они прикоснутся, преклонятся и будут вечно благодарны за их господство. Мы говорим, что это не так, и стоим здесь сегодня, чтобы провозгласить, что есть лучший способ». \n \n Этими словами группа делегатов, собравшихся в Рапид-Сити, объявила о создании «Республики Дакота». Южная Дакота вышла из Союза, и не исключено, что вскоре к ним могут присоединиться и другие. Разве они не понимают, насколько недолгим будет их восстание?;
EVTDESC95277;В $PROVINCENAME$ собралась группа политиков, издав декларацию о том, что штат $STATENAME$ тем самым выходит из Союза и присоединяется к Республике Дакота.;
EVTNAME95278;Республика Пуэбло;
EVTDESC95278;«Мы были подданными деспотов в Мексике, а также жестоких тиранов в Вашингтоне, и мы стоим здесь перед вами сегодня, чтобы заявить, что мы не будем стоять ни за то, ни за другое. У нас уникальное наследие, и мы будем двигаться вперед с намерением прославлять его в духе свободы и доброй воли для всего человечества». \n \n Этими словами группа делегатов, собравшихся в Фенxе, провозгласила создание «Республики Пуэбло». Аризона и Нью-Мексико вышли из союза, чтобы сформировать его, дерзнув, чтобы мы остановили их бунт — если сможем.;
EVTNAME95279;Мормонская конвенция;
EVTDESC95279;«Наш путь лежит в другом направлении — с нашими сердцами, нашей верой и нашей честностью. Да хранит нас Бог и хранит нас в безопасности в этом опасном мире». \n \n Этими словами лидер мормонов провозгласил создание независимой нации Дезерет, включающей Юту и Неваду. Они готовы противостоять любой нашей попытке вернуть их силой.;
EVTNAME95280;Конвенция Сан-Франциско;
EVTDESC95280;«Мы присоединились к Союзу с пониманием того, что это что-то значило — мы присоединялись к делу истинной свободы в мире, полном тоталитаризма, делу, намного более важному, чем любое, которого мы могли бы надеяться достичь самостоятельно. Мы ошиблись, и теперь мы должны идти вперед на своих условиях. Да поможет нам всем Бог». \n \n С этими словами губернатор Калифорнии встретился с большим количеством делегатов в Сан-Франциско и объявил, что их штат вышел из Союза, что вызвало широкую поддержку многих калифорнийцев.;
EVTNAME95281;Техасский сецессион;
EVTDESC95281;«Мы — Государство Одинокой Звезды. Мы воевали с мексиканцами и преуспели, а теперь будем воевать с янки, если они придут. Пусть приходят. Техас не склоняется ни перед кем». \n \n С этими словами губернатор Техаса предстал перед группой собравшихся делегатов и объявил, что их штат вышел из Союза. В Остине уже собирается армия сторонников, готовых бороться против любой расправы со стороны Вашингтона.;
