primary_culture_only_desc;Only the first class citizens of the country are allowed to participate in the political life, all the other groups are segregated. Becoming a first class citizen is hard and extremely limited.;x
movement_primary_culture_only;Pro Citizens Movement;x
culture_voting_only_l;Accepted Cultures Rights;x
culture_voting_only_desc;Persons from the country's culture are allowed to participate in the political life of the country and citizenship is greatly facilitated for these people.;x
movement_culture_voting_only;Movement for Cultural Political Rights;x
all_voting_pops_l;All Allowed Rights;x
all_voting_pops_desc;All legal immigrants, regardless of the culture, are allowed to vote. Acquiring citizenship status is facilitated.;x
movement_all_voting_pops;The League for Universal Political Rights;x
movement_open_borders;Pro Immigration Movement;x
unemployment_subsidies;Unemployment;x
child_labor_illegal;Child Labor Illegal;x
child_labor_illegal_l;Child Labor Illegal;x
child_labor_illegal_desc;Child Labor is viewed as immoral and is illegal.;x
movement_child_labor_child_labor_illegal;Campaign for the Legalization of Child Labor;x
child_labor_restricted;Child Labor Restricted;x
child_labor_restricted_l;Child Labor Restricted;x
child_labor_restricted_desc;Children cannot work in certain dangerous professions.;Restricted;Restricted;x
movement_child_labor_restricted;Campaign for the Restriction of Child Labor;x
child_labor_legal;Child Labor Legal;x
child_labor_legal_l;Child Labor Legal;x
child_labor_legal_desc;No child labor regulation exists.;x
child_labor;Child Labor;x
movement_child_labor_illegal;Child Labor Abolition League;x
serfdom_desc;Serfs are bound to the land and subject to the will of its owner and forced to work the fields under a feudal system.\n§RThis reform affects POP promotion chance - promotion will be slower.§W\n§YThis reform enables Serfs - poor POPs will demote to Serfs and won't come out of Serfdom until it's abolished.§W;x
movement_serfdom;Pro Serfdom League;x
peonage_desc;Peonage is a debt system under which the debtor is forced to work off his debt. This often leads to a perpetual cycle of involuntary labor called peonage.;x
movement_peonage;Campaign for the Abolition of Serfdom;x
debtors_prisons_desc;Debtors are confined to jail until such time as their debt is resolved.\n§YThis reform is neutral - no effects.§W;x
movement_debtors_prisons;Abolition of Peonage Movement;x
bankruptcy_desc;Debtors are allowed to declare bankruptcy and have their previous debts declared null and void.;x
movement_bankruptcy;Debtor's Prisons Abolition Movement;x
colonial_transportation_desc;Prisoners are sent to either far away or inhospitable places in the mother-country or to its colonies. This, however, increases the load on the bureaucracy.\n§YThis reform will increase colonial migration but it will also increase the necessity of bureaucrats.§W;x
movement_colonial_transportation;Campaign for the Abolition of Capital Punishment;x
incarceration;Incarceration;x
incarceration_l;Incarceration;x
incarceration_desc;Convicts are imprisoned with the intent of removing undesirables from society, though they aren't used for hard manual labor most of the times.\n§YThis reform is neutral - no effects.§W;x
movement_incarceration;Movement for the Abolition of Penal Colonies;x
rehabilitation;Rehabilitation;x
rehabilitation_l;Rehabilitation;x
rehabilitation_desc;Convicts are imprisoned with the intent of reforming them and reintroducing them into society.;x
movement_rehabilitation;Rehabilitation of Prisoners Campaign;x
EVTNAME34608;Child Labour Law Passed;x
EVTDESC34608;Following Britain's lead, in $YEAR$ Prussia, under the influence of some religious and social figures, passed a law strictly regulating the amount of child labour that was possible during the year.  According to the new legislation, the Prussian government will lay down restrictions on child labor, with the following main points: children under the age of nine are banned from factory labor, children needed to have had at least three years of schooling before working, and children under the age of sixteen could work no more than ten hours per day. Other provisions included mandated rest times and a total ban on night work for children.;x
EVTOPTA34608;Those poor children!;x
EVTOPTB34608;This isn't really necessary. Revoke the law.;x
EVTNAME3700;Chimney Sweepers;x
EVTDESC3700;'A young boy arose from the inside of a chimney and gently sat down on the roof. His face and clothes were blackened by the soot from the chimney and showed that this was not the first chimney he had swept this day. Tired, he climbed down the roof and trotted off after receiving a penny from the house matron.' \n \n The hard work that the city's young chimney sweepers perform has outraged many, and a committee has been formed to tackle the rough working conditions.;x
EVTOPTA3700;We should consider legislation to end this.;xx
EVTOPTB3700;Hard work is the foundation of a good moral character.;x
EVTNAME370000002;Long Work Hours;x
EVTDESC370000002;'The factories extend their flanks of fouler brick one after another, bare, with shutterless windows, like economical and colossal prisons... and inside, lit by gas-jets and deafened by the uproar of their own labour, toil thousands of workmen, penned in, regimented, hands active, feet motionless, all day and every day, mechanically serving their machines...' \n The hard work that the city's workers perform has outraged many, and a committee has been formed to tackle the rough working conditions.;x
EVTOPTA370000002;We should consider legislation to change this.;x
EVTOPTB370000002;Hard work is the foundation of a good moral character.;x
;x
NORMAL_WAR_TAKE_NAME_RUS_CIR;$ORDER$ Caucasian War;x
NORMAL_WAR_TAKE_CORE_NAME_RUS_CIR;$ORDER$ Caucasian War;x
NORMAL_WAR_TAKE_NAME_RUS_DAG;$ORDER$ Caucasian War;x
NORMAL_WAR_TAKE_CORE_NAME_RUS_DAG;$ORDER$ Caucasian War;x
secularized_desc;Religion is not explicitly part of state policy, but the state tips its hat to traditional religious values.;x
dismantle_declared;Dismantled;x
in_great_war;In a Great War;x
post_colonial_country;Post-Colonial Nation;x
school_reforms;School System;Schulsystem;x
no_schools;No School System;Kein Schulsystem;x
low_schools;Basic School System;Einfaches Schulsystem;x
acceptable_schools;Acceptable School System;Akzeptables Schulsystem;x
good_schools;Good School System;Gutes Schulsystem;x
no_schools_l;No School System;Kein Schulsystem;x
low_schools_l;Basic School System;Einfaches Schulsystem;x
acceptable_schools_l;Acceptable School System;Akzeptables Schulsystem;x
good_schools_l;Good School System;Gutes Schulsystem;x
no_schools_desc;No public Schools.;Keine цffentlichen Schulen.;x
low_schools_desc;Public Schools are uncommon.;Цffentliche Schulen sind nicht verbreitet.;x
acceptable_schools_desc;Public Schools are common.;Цffentliche Schulen sind verbreitet.;x
good_schools_desc;There are really a lot of Public Schools.;Es gibt wirklich viele цffentliche Schulen.;x
womens_suffrage_movement;Women's Suffrage Movement;x
assyrian;Assyrian;x
xhosa;Xhosa;x
arabic;Arabic;x
breton;Breton;x
pan_albanian;Albanian;x
occitan;Occitan;Occitanisch;x
picard;Picard;x
western_slavic;Wend;x
anglo_african;Anglo African;x
jewish_cultures;Jewish Cultures;x
itsekari;Ijaw;x
kuba;Bakuba;x
mormon;Mormon;x
separatist_rebels_title;Patriot;x
separatist_rebels_name;$CULTURE$ Patriots;x
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;x
separatist_rebels_army;$CULTURE$ Patriots;x
indian_nationalists_title;Indian Nationalist;Pan-Nationalisten;x
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ Pan-Nationalisten;x
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;x
indian_nationalists_army;Indian Nationalists;Junge $UNION$ Brigaden;x
socialist_rebels_title;Militant Socialist;x
socialist_rebels_name;Militant Socialists;x
socialist_rebels_desc;In a democracy, militant socialists will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;x
socialist_rebels_army;Militant Socialists;x
christino_rebels_title;Christino;x
christino_rebels_name;Christinos;x
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;x
christino_rebels_army;Christinos;x
independence_rebels_title;Independence;x
independence_rebels_name;Independence Rebels;x
independence_rebels_desc;These rebels seek to free the country from its vassal status.;x
independence_rebels_army;Independence Rebels;x
turkish_nationalist_rebels_title;Turkish Nationalist;x
turkish_nationalist_rebels_name;Turkish Nationalists;x
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;x
turkish_nationalist_rebels_army;Turkish Nationalists;x
native_rebels_title;Anti-Colonial;x
native_rebels_name;Anti-Colonial Rebels;x
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;x
native_rebels_army;Anti-Colonial Rebels;x
liberal_rebels_desc;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;x
NORMAL_WAR_CONQUEST_ANY_NAME;$ORDER$Conquest of $SECOND$ War;x
AGRESSION_WAR_CONQUEST_ANY_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;x
RANK_INDUSTRY_D;Industry score is a measure of your level of industrialization. It is a combination of the number of employed craftsmen and clerks, divided by 2500, and the value of your foreign investment.;x
feudal;Feudal System;
desc_feudal;Feudalism was a set of political and military customs.  Although derived from the Latin word feodum,  then in use, the term feudalism and the system it describes were not conceived of as a formal political system by the people living in the Medieval Period. In its classic definition, by Franзois-Louis Ganshof (1944), feudalism describes a set of reciprocal legal and military obligations among the warrior nobility, revolving around the three key concepts of lords, vassals and fiefs. There is also a broader definition, as described by Marc Bloch (1939), that includes not only warrior nobility but the peasantry bonds of manorialism, sometimes referred to as a 'feudal society'. Because of multiple definitions and other issues, many now see the concept of feudalism as deprived of specific meaning, which has led in recent decades to many historians and political theorists rejecting feudalism as a useful way for understanding society.;
merchant_republic;Merchant Republic;
merchant_republic_ruler;Your Excellency;
feudal_monarchy;Feudal Monarchy;
feudal_monarchy_ruler;Your Majesty;
#cultures;
DVG_badboy_1;Lack of International Code;
DVG_badboy_1_desc;Europe and the rest of the world are still embroiled in war and chaos as the Great Powers haven't agreed to create a set of rules for International Diplomacy. The Brandeburgian Peace saw the recognition of the state as a diplomatic actor but beyond that might still makes right. However if Europe was shaken to its core by a great change of power then we might see a new era of limited warfare put in place by the European powers and of course the rest of the world.;
DVG_badboy_2;Lack of International Code;
DVG_badboy_2_desc;Europe and the rest of the world are still embroiled in war and chaos as the Great Powers haven't agreed to create a set of rules for International Diplomacy. The Brandeburgian Peace saw the recognition of the state as a diplomatic actor but beyond that might still makes right. However if Europe was shaken to its core by a great change of power then we might see a new era of limited warfare put in place by the European powers and of course the rest of the world.;
powerful_HRE;Powerful Emperor;
powerful_HRE_desc;The power of the Emperor in Prague hurts our diplomatic possibilities and our international standing as long as we are under his hegemony.;
agrarianism;Agrarianism;
agrarianism_l;Agrarianism;
agrarianism_desc;A social philosophy which believes rural life is superior to urban life. Factories and industrialization of all kinds are to be discouraged.;
mari;Mari;x
mordvin;Mordvin;x
chuvash;Chuvash;x
veps;Vepsian;x
udmurt;Udmurt;x
komi;Komi;x
bashkir;Bashkir;x
krymchak;Krymchak;x
lak;Lak;x
karachai;Karachay;x
abkhaz;Abkhaz;x
lezgin;Lezgin;x
avar;Avar;x
ingush;Ingush;x
kumyk;Kumyk;x
khalaj;Khalaj;x
tat;Tat;x
caspian;Caspian;x
lurish;Lur;x
nuristani;Nuristani;x
qashqai;Qashqai;x
arvanite;Arvanite;x
pamiri;Pamiri;x
fahlavi;Fahlavi;x
