;;
IS_IN_REGION;находится в регионе;
EVTNAME18225;Право на сбор;
EVTDESC18225;На рассмотрение правительства в $CAPITAL$ поступил законопроект о праве людей на собрания. Многие считают, что реформы позволили людям из $COUNTRY_ADJ$ стать слишком раскрепощенными — они собираются толпами, протестуя против власти и всячески взбудоражив остальную чернь. Когда-то, говорят, такого просто не допустили бы. Должны быть введены новые правила, ограничивающие количество людей, которые могут собираться в одном месте, и с какой целью. В то время как некоторые могут быть расстроены принятием законопроекта, правительство, похоже, укоренилось в своей позиции.;
EVTNAME18230;Права оппозиции;
EVTDESC18230;Члены правящей партии были заняты в правительстве $COUNTRY_ADJ$, медленно меняя небольшие правила, которые мешали бы признанию и избранию оппозиционных партий. Политические границы были смещены, а в некоторых случаях члены оппозиции даже подвергались преследованиям. Теперь кажется, что на рассмотрение правительства был представлен законопроект, который закрепит большое количество этих правил, сделав их постоянными. Правительство непреклонно заявляет, что правила необходимы для сохранения стабильности в $COUNTRY$, хотя законопроект, без сомнения, будет невероятно непопулярен среди либералов.;
EVTNAME18501;Путь $COUNTRY_ADJ$;
EVTDESC18501;У нас нация равенства, где ни один человек не ставится выше другого по значимости. Каждый стремится к лучшему для всех. Недавнее сообщение в газете $CAPITAL$ об аресте богатого, но преступного промышленника послужило не возмущению людей $COUNTRY_ADJ$, а, скорее, укреплению их идеалов. Сегодня наш народ ходит чуть более гордо, чем раньше.;
EVTNAME18505;$COUNTRY_ADJ$ Изобретательность;
EVTDESC18506;Наша нация свободы, где каждый человек рождается с неотъемлемым правом искать свою судьбу. Возможность процветания находится в пределах досягаемости каждого человека. Недавнее сообщение в газете $CAPITAL$ об оправдании человека, которого многие считали невиновным, послужило укреплению идеалов нашего народа. Сегодня они ходят чуть более гордо, чем раньше.;
EVTNAME18507;Цена свободы;
EVTDESC18507;Часто говорят, что люди $COUNTRY_ADJ$ привыкли к свободе - они к ней стремятся, считают ее высшим идеалом. Так что они раздражаются под ярмом того, что они считают тиранией правительства. Недавняя демонстрация в одном из наших городов грозит перекинуться на весь штат. Однако в глазах всего мира насильственное прекращение этого акта гражданского неповиновения, несомненно, будет рассматриваться как нападение на наших собственных граждан.;
EVTNAME18510;Военный парад;
EVTDESC18510;В глазах наших солдат, марширующих по улицам, не видно ничего, кроме предельной преданности $COUNTRYNAME$ и идеалам, которых придерживается наш народ. Эти люди, и описание им подходит, с детства воспитывались в твердой и твердой вере в нашу нацию, и они готовы умереть, чтобы защитить ее. Да здравствует $COUNTRY$!;
EVTDESC18511;У нас могучая нация, где сила человека определяет его успех, и все прекрасно знают, насколько мы превосходим наших соседей. Никто не может сравниться с $COUNTRY$ в наш лучший день. Недавнее сообщение в газете $CAPITAL$ о казни иностранца, предположительно занимавшегося преступной деятельностью на территории $COUNTRY_ADJ$, укрепило убеждения наших людей. Сегодня они ходят чуть более гордо, чем раньше.;
EVTNAME18515;Отправить в войска;
EVTDESC18515;Дела в $COUNTRY$ выходят из-под контроля. Акты насилия становятся все более обычным явлением, и некоторые утверждают, что в воздухе витает революция. Многие граждане в $CAPITAL$ призывают правительство принять более решительные меры. Однако отправка нашей армии для борьбы с насилием лишь привлечет к нам внимание всего мира. Возможно, настало время доказать, что $COUNTRY$ может вести свои дела так, как мы всегда поступали - вежливо.;
EVTDESC18517;Наша нация порядка, где правят мир и вежливость. Каждый стремится к общему благу, к прогрессу нашей нации в целом. Недавнее сообщение в газете $CAPITAL$ об аресте видного криминального деятеля, ранее ускользавшего от властей, не возмутило людей, а скорее укрепило их убеждения. Сегодня люди $COUNTRY$ ходят немного гордее, чем раньше.;
EVTNAME18521;Братство людей;
EVTDESC18521;В этом месяце в $CAPITAL$ состоялось торжественное мероприятие, посвященное смерти видного политика. Это был праздник пути $COUNTRY_ADJ$: мира, братства и братства. Таковы были добродетели, в которые верил этот человек, и эту веру разделяли все люди $COUNTRY_ADJ$.;
EVTNAME18525;Свобода сияет;
EVTDESC18525;В этом месяце в $CAPITAL$ состоялось торжественное мероприятие, посвященное смерти видного политика. Это был праздник пути $COUNTRY_ADJ$: свободы, свободы и стремления к счастью. Таковы были добродетели, в которые верил этот человек, и эту веру разделяли все люди $COUNTRY_ADJ$.;
EVTNAME18530;$COUNTRY_ADJ$ Судьба;
EVTDESC18531;Недавний спор с одним из наших соседей возмутил жителей $COUNTRY$: «Как они могут так с нами обращаться?» — спрашивают они. Одни призывают к войне, а другие довольствуются тем, что наша нация уже вышла на первое место.;
EVTNAME18535;Вперед к завтрашнему дню;
EVTDESC18535;В этом месяце в $CAPITAL$ состоялось торжественное мероприятие, посвященное смерти видного политика. Это был праздник уклада $COUNTRY_ADJ$: порядка, трудолюбия и продуктивности. Таковы были добродетели, в которые верил этот человек, и эту веру разделяли все люди $COUNTRY_ADJ$.;
EVTNAME18550;Отказ от вестернизации;
EVTDESC18550;Наш народ долгое время пытался воспринять идеалы вестернизации, но сейчас нарастает движение за возвращение к традиционному $COUNTRY_ADJ$ образу жизни. Лидерам нации приходится подавать пример: должны ли мы снова принять идеал традиции, или вестернизация должна оставаться нашей целью, несмотря на нашу продолжающуюся изоляцию?;
EVTNAME18551;Принятие вестернизации;
EVTDESC18551;Наш народ очень долго хранил традиции. Однако после многих лет знакомства с западными странами началось растущее движение за изменение образа жизни $COUNTRY_ADJ$. Интеллектуалы в $CAPITAL$ говорят, что правительство должно вести народ в эпоху прогресса, а не погрязнуть в нашей отсталости. Бросить ли нам этих дураков в тюрьму или подумать, что они говорят?;
EVTNAME18555;Столкновение идеалов;
EVTDESC18555;Интеллигенция $COUNTRY_ADJ$ столкнулась с представителями аристократии в $CAPITAL$. Аристократия обвинила интеллектуальную элиту в попытке отказаться от образа жизни $COUNTRY_ADJ$, в то время как интеллектуалы говорят, что необходим прогресс, если $COUNTRY$ хочет иметь хоть какой-то шанс против западных империалистических держав. Доводы интеллигенции убедительны, но на улицах это не успокоило.;
EVTNAME18556;Новые идеи;
EVTDESC18556;Интеллектуалы $COUNTRY_ADJ$ представили суду несколько новых идей, идей, которые могли бы значительно продвинуть наши исследования. Однако они также довольно спорны, и отказ от интеллектуалов мог бы во многом успокоить аристократию.;
EVTNAME18560;Анналы прошлого;
EVTDESC18560;Крестьяне выходят на улицы, восставая против своих правителей способами, которые были бы немыслимы еще несколько десятилетий назад. Может быть, пора напомнить им об их долге перед своим народом и о традициях, которые так хорошо служили $COUNTRY$ в прошлые века?;
EVTNAME18561;Праздник в $CAPITAL$;
EVTDESC18561;В $CAPITAL$ прошел большой праздник в честь правителей $COUNTRY$, а также его многовековой почетной традиции. Появились огромные толпы, чтобы поприветствовать наших солдат, и зрелище даже привлекло внимание иностранцев. Посвятить праздник величию $COUNTRY$ или вместо этого использовать его как предлог для умиротворения масс?;
EVTNAME18562;Борьба с прогрессом;
EVTDESC18562;Реакционеры $COUNTRY_ADJ$ затеяли в одном из наших государств горячие дебаты, доказывая, что $COUNTRY$ не должно рабски гоняться за «цивилизованными» нациями, что $COUNTRY$ уже слишком далеко зашло по пути деградации и что люди $COUNTRY_ADJ$ страдают за Это. Они призывают правительство отменить реформы или, по крайней мере, замедлить стремительный темп перемен... и завоевывают широкую аудиторию.;
EVTNAME18565;Возвращение к западному влиянию?;
EVTDESC18565;$COUNTRY$ — нация прогресса, и наш нынешний период изоляции от западных держав противоречит этому идеалу. Призвать еще раз открыть границы? Это может разозлить некоторых из наших людей, но поток товаров и идей бесценен для нашего процветания.;
EVTNAME18571;Отказ от Запада?;
EVTDESC18571;Мы никогда не хотели этого контакта с жителями Запада. Они приносят слишком много проблем в нашу страну, и их влияние распространяется подобно коварной болезни. Многие в суде $COUNTRY_ADJ$ призывают снова закрыть границы, чтобы мы показали этим империалистам, что они не могут просто важничать над нашей нацией, как будто она принадлежит им. Нужна демонстрация силы!;
EVTDESC19007;Возникла напряженность между нами и другими великими державами по поводу господства над правительством $FROMCOUNTRY_ADJ$. Мы вынуждены оказаться в ситуации, когда мы должны либо отстаивать свою позицию, что будет расценено как подрыв независимости $FROMCOUNTRY$, либо отступить и потерять большую часть влияния в $FROMCOUNTRY$, которое мы имеем в настоящее время.;
EVTNAME19365;Восстановление $COUNTRY$;
EVTDESC19365;Среди жителей $COUNTRY$ распространилась идея... некоторые наши земли находятся под контролем иностранцев, но вернуть их своими силами, похоже, не в наших силах. Однако $COUNTRY$ обладает великой силой своего благодетельного защитника, не так ли? Люди призывают наше правительство обратиться к ним за помощью, хотя некоторые в правительстве обеспокоены тем, что это может оттолкнуть и нашего союзника, не говоря уже о том, чтобы вызвать новую враждебность с нашими соседями.;
EVTNAME19366;Восстановление $FROMCOUNTRY$;
EVTDESC19366;К нам потихоньку обратились дипломаты из $FROMCOUNTRY$ с просьбой о помощи в восстановлении утраченных земель. С $COUNTRY_ADJ$, говорят, $FROMCOUNTRY$ окажется гораздо более достойным союзником. Однако есть те, кто обеспокоен проблемами, которые это может вызвать. Должны ли мы смотреть в другую сторону, наше доказательство влияния $COUNTRY_ADJ$ имеет вес?;
EVTNAME19367;$FROMCOUNTRY$ согласовал;
EVTDESC19367;$FROMCOUNTRY$ согласилось рассмотреть наше предложение. Возможно, в конце концов, они не предпримут никаких военных действий от нашего имени… Однако мы обратили внимание, что отношения между ними и одним из наших соседей сильно охладели, так что война еще может произойти.;
EVTNAME19368;$FROMCOUNTRY$ отказался;
EVTDESC19368;$FROMCOUNTRY$ отказался вмешиваться от нашего имени. Хуже того, оказывается, что цель нашей миссии просочилась по крайней мере к одному из наших соседей, сильно разозлив их, вызвав угрозы войны против $COUNTRY$. $FROMCOUNTRY$ проинформировал их? Нас бросил наш союзник?;
EVTNAME19370;$FROMCOUNTRY_ADJ$ Повелители;
EVTDESC19370;Солдаты $FROMCOUNTRY_ADJ$ вошли сегодня в $CAPITAL$, сопровождая нового губернатора $FROMCOUNTRY_ADJ$, который будет наблюдать за работой марионеточного правительства $COUNTRY_ADJ$. Люди из $COUNTRY_ADJ$ уже ополчились на это навязывание иностранной державой, хотя некоторые явно задаются вопросом, можно ли что-то сделать. В конце концов, $COUNTRY$ не подчинилось добровольно, и если бунт вырвет нас из-под контроля $FROMCOUNTRY_ADJ$, не вторгнутся ли они еще раз? Пожалуй, $COUNTRY$ достаточно натерпелось.;
EVTNAME31510;Великая австрийская судьба?;
EVTDESC31510;Австрийцы всегда шли несколько иным путем, чем их собратья-немцы, и идея большего объединения никогда не приживалась в Австрии, как на севере. В последнее время есть те, кто говорит, что безоговорочное господство Австрии обязывает ее объединить Великую Германию под единым флагом. Третьи говорят, что нет, у Австрии уже есть собственное имя и империя, которая простирается на многие культуры, которые никогда не приветствовали бы усиление господства немцев ... не говоря уже о том, что Великая Германия встревожила бы силы Европы. степени это почти наверняка предвещало бы войну. Таким образом, возникает вопрос: каким будет наш путь?;
EVTNAME31511;Ограниченная автономия для $COUNTRY$;
EVTDESC31511;$FROMCOUNTRY$ предоставило нам ограниченное самоуправление в интересах получения нашего согласия на их формирование Великой Германии. В $COUNTRY$ есть те, кто возражает, говоря, что быть вассалом Германии не лучше, чем то, чем мы наслаждались раньше. Но это нечто.;
EVTNAME31515;Вопрос Великой Германии;
EVTDESC31515;Австрийцы всегда шли несколько иным путем, чем их собратья-немцы, и идея большего объединения никогда не приживалась в Австрии, как на севере. В последнее время есть те, кто подвергает сомнению этот путь, ссылаясь на возвышение великой державы, готовой привести нас в Великую Германию. Принимая во внимание, что негерманские культуры в Австрии никогда не допустят доминирования такого союза и что это встревожит европейские державы в беспрецедентной степени, мы должны задаться вопросом, куда теперь должен лежать наш путь?;
EVTNAME31516;$FROMCOUNTRY$ Петиции о присоединении к Германии;
EVTDESC31516;Сегодня правительство $FROMCOUNTRY_ADJ$ провело встречу с правительством $COUNTRY_ADJ$ в $CAPITAL$, выразив желание объединиться в «Великую Германию». Они делают это с полным намерением включить не только свои немецкоязычные территории, но и любые земли, которыми они владеют, принадлежащие другим культурам. Хотя такая Великая Германия, несомненно, была бы неслыханной в мире державой, есть те, кто выражает осторожность: великие державы мира почти наверняка будут возражать против такого союза, не говоря уже о том, что негерманские культуры, вероятно, бунтовать против нашего господства.;
EVTNAME31518;$FROMCOUNTRY$ Отказывается от Объединения Германии!;
EVTDESC31518;В последние дни в $CAPITAL$ было много разговоров о возможном объединении с $FROMCOUNTRY$ в «Великую Германию». Этот разговор был окончательно отвергнут правительством $FROMCOUNTRY_ADJ$, заявившим, что путь $FROMCOUNTRY$ отделен от пути $COUNTRY$. Однако в правительстве $COUNTRY_ADJ$ есть те, кто считает это неприемлемым. Хотя это, несомненно, разрушило бы наши отношения с $FROMCOUNTRY$ и расстроило бы державы Европы, возможно предъявление претензий на немецкоязычные части $FROMCOUNTRY$.;
EVTDESC31519;Сегодня правительство $FROMCOUNTRY_ADJ$ провело встречу с правительством $COUNTRY_ADJ$ в $CAPITAL$, выразив желание объединиться в «Великую Германию». Их единственное условие относительно союза состоит в том, что их негерманские государства должны быть объединены в качестве самоуправляющихся регионов, без сомнения, чтобы свести к минимуму возражения европейских держав, хотя есть и те, кто полагает, что европейские державы будут недовольны таким соглашением даже в этом случае. .;
EVTNAME31521;Роспуск $COUNTRY$;
EVTDESC31521;Австрии больше нет. После того, как Вена исчезла, а то, что осталось от Империи, представляет собой беспорядок правительств, не желавших поддерживать свою сплоченность без австрийского правительства, которое могло бы удержать ее вместе, нация раскололась по швам. Целые части Империи либо объявили о своей полной независимости, либо о своем намерении воссоединиться со своей родиной.;
EVTDESC31530;Австрийцы всегда шли несколько иным путем, чем их собратья-немцы, и идея большего объединения никогда не приживалась в Австрии, как на севере. В последнее время есть те, кто подвергает сомнению этот путь, ссылаясь на возвышение великой державы, готовой привести нас в Великую Германию. Учитывая, что такой союз мог бы в значительной степени встревожить державы Европы, мы должны задаться вопросом, куда теперь должен лежать наш путь?;
EVTDESC31531;Сегодня правительство $FROMCOUNTRY_ADJ$ провело встречу с правительством $COUNTRY_ADJ$ в $CAPITAL$, выразив желание объединиться в «Великую Германию». Хотя такая нация, несомненно, была бы неслыханной в мире державой, есть те, кто выражает осторожность: великие державы мира, вероятно, будут возражать против такого союза. Стоит ли Великая Германия войны?;
EVTNAME32509_NEW;покупка Аляски;
EVTDESC32509_NEW;Мы слышим от русского посла, что они готовы продать нам свою колонию на Аляске за приемлемую цену. Может быть, нам стоит подумать о том, чтобы сделать предложение, пока его не купил кто-то другой? В данный момент земля ничего не стоит, но владение Аляской было бы благом для нашего престижа.;
EVTNAME32510_NEW;покупка Аляски;
EVTDESC32510_NEW;Мы получили предложение от $FROMCOUNTRY$ о покупке колонии на Аляске. Должны ли мы принять?;
EVTNAME32512;Интервенция в Венгрии?;
EVTDESC32512;Венгерская революция в Австрии создает опасный прецедент. В $COUNTRY$ слишком много меньшинств, которые могли бы смотреть на венгров как на источник вдохновения и которые тоже восстали бы, если бы мы не подали твердый пример. Независимо от наших отношений с австрийским правительством, мы должны рассмотреть вопрос о вмешательстве против венгерских повстанцев или, возможно, столкнуться с подобными восстаниями дома.;
EVTNAME32515;Тартуский договор;
EVTDESC32515;Теперь, когда Финляндия свободна от правления $COUNTRY_ADJ$, их правительство обратилось к нам с просьбой вести территориальные переговоры. Их интересует северная полоса земли, известная как Петсамо, и доступ к Северному Ледовитому океану, который она предлагает, а также обсуждение претензий России на Выборг. Если мы дадим им то, что они ищут, $COUNTRY$ будет хорошо смотреться в глазах международного сообщества, и мы получим союзника - но, может быть, нам не нужна Финляндия как союзник?;
EVTNAME32516;Россия отказалась;
EVTDESC32516;Россия отказалась подписать Тартуский договор, посеяв призрак войны между нашими народами. Может, нам стоит подумать о том, чтобы сдать южную Карелию до того, как русские придут и заберут ее у нас?;
EVTNAME32550;Покупка Белиза?;
EVTDESC32550;Делегаты Центральной Америки недавно прибыли из Лондона в надежде купить британский Белиз. Что нам делать?;
EVTNAME32551;$FROMCOUNTRY$ Принимает!;
EVTDESC32551;$FROMCOUNTRY$ согласился продать нам Белиз! Да здравствуют Соединенные Штаты Центральной Америки!;
EVTNAME32552;$FROMCOUNTRY$ Отказывается!;
EVTDESC32552;$MONARCHTITLE$, переговоры с $FROMCOUNTRY$ по поводу Белиза зашли в тупик, и они отказались продать нам колонию.;
EVTNAME33006;Торговать на Гельголанде?;
EVTDESC33006;$FROMCOUNTRY$ обратилось к нам с предложением: обмен одного из наших колониальных государств на остров Гельголанд. Это непомерная цена для такого маленького острова, но альтернативой будет война. Согласны ли мы с договором?;
EVTNAME33007;Германия соглашается;
EVTDESC33007;Германия согласилась на предложенную торговлю Гельголандом.;
EVTNAME33008;Германия отказалась;
EVTDESC33008;Германия отказалась от предложенной торговли Гельголандом.;
EVTNAME33009;Во славу Германии;
EVTDESC33009;Земли Эльзаса-Лотарингии по праву принадлежат немецкому народу. Может быть, пришло время отобрать их у французов и показать миру, чего может добиться единая и славная Германия? Либо так, либо нам следует раз и навсегда отказаться от своих претензий на эти земли, несмотря на удар по нашему престижу и нашей гордости.;
EVTNAME33010;Эльзас-Лотарингия потеряна;
EVTDESC33010;Нам не удалось вернуть Эльзас-Лотарингию от ненавистных французов. Многие предлагают нам отказаться от своих претензий и двигаться дальше, несмотря на удар по нашей национальной гордости.;
EVTNAME33020;Лига трех императоров;
EVTDESC33020;Немецкий кайзер направил в $COUNTRY$ делегацию с предложением: воскресить Священный союз, образованный между Пруссией, Австрией и Россией, некогда существовавший после поражения Наполеона. Сомнительно, чтобы такой союз мог принести плоды, но, возможно, пора обдумать эту идею. У $COUNTRY$ ведь другие заботы, кроме постоянных конфликтов с немцами.;
EVTNAME33025;Испанский Тихий океан;
EVTDESC33025;С потерей нашей колониальной базы в Маниле управление тихоокеанскими островами стало невероятно трудным. К нам обратилось правительство $FROMCOUNTRY_ADJ$ по поводу возможности продажи любого из наших оставшихся холдингов на Каролинских и Марианских островах. Предложенная сумма невелика, но опять же, острова не так уж и много стоят — на самом деле, они обходятся нам гораздо дороже, чем дают. Есть еще предположение, что в случае нашего несогласия $FROMCOUNTRY$ может попытаться забрать их силой.;
EVTNAME35305;Герра-ди-Либия;
EVTDESC35305;Земли Триполи и Киренаики когда-то принадлежали Италии и должны принадлежать снова. Мы достойны места под солнцем!;
EVTNAME36215_NEW;Самоуправление для Исландии;
EVTDESC36215_NEW;Исландский альтинг проголосовал за предоставление им самоуправления, заявив, что пришло время для большей независимости. По их плану, $COUNTRY$ продолжит управлять иностранными делами и интересами обороны страны.;
EVTDESC36709;Хотя де-факто независимость Бельгии от Нидерландов была установлена ??силой оружия во время бельгийской революции 1831 года, она не была подтверждена де-юре, и мы все еще предъявляем претензии на территорию Бельгии. Британцы предложили посредничество в урегулировании — в обмен на отказ от наших требований и гарантии нейтралитета Бельгии мы получили бы рейнскую часть Люксембурга как нашего вассала… а также большое положение в глазах Европейские державы. Это, конечно, если Бельгия даже согласится на договор.;
EVTNAME36710;Лондонский договор;
EVTDESC36710;На встрече при посредничестве британцев Нидерланды предложили подписать договор, по которому они откажутся от всех претензий на бельгийскую территорию, но ценой передачи им Люксембурга как вассала. Некоторые утверждают, что это слишком высокая цена, и что мы не должны позволять запугивать себя таким договором... но это также может быть единственным шансом на примирение с голландцами.;
EVTNAME36711;Бельгия подписала договор;
EVTDESC36711;Бельгийское правительство согласилось с условиями Лондонского договора. Мы отказались от всех претензий на их территорию в обмен на контроль над Люксембургом.;
EVTNAME36712;Бельгия отказалась от договора;
EVTDESC36712;Бельгийское правительство отказалось от условий Лондонского договора. Это глупый ход, который только открывает возможность новой войны, но, похоже, бельгийцев это не тронет.;
EVTNAME36715;Падение Амстердама;
EVTDESC36715;Несмотря на все наши усилия, произошло немыслимое: Амстердам пал. Кажется, у нас нет иного выбора, кроме как сдаться бельгийцам и позволить им диктовать свои условия. Если они будут добры, то просто заставят нас отказаться от всех претензий на южные Нидерланды. Если они будут недобры, они могут заставить нас отказаться от территории, хотя это наверняка вызовет гнев европейских держав.;
EVTNAME36716;Голландская капитуляция;
EVTDESC36716;Наши силы укрепили свой контроль над Амстердамом и доказали свое превосходство в войне, поэтому у правительства Нидерландов нет другого выбора, кроме как принять любые условия, которые мы диктуем. Европейские державы настаивают на мире и примирении — они хотят, чтобы Бельгия сохранила то, что у нее есть, и ничего более — хотя, если мы осмелимся рискнуть их гневом, мы, безусловно, можем вырвать территориальные соображения.;
EVTNAME36950;Датский золотой берег;
EVTDESC36950;Датский Золотой Берег существует на побережье Союза Ашанти, прежде всего крепость Чистиансборг недалеко от города Аккра. Датчане готовы продать нам свои владения, хотя это может привести к конфликту с правительством Ашанти, которое увидит в этом посягательство на их территорию.;
EVTNAME36955;Конфликт с Бирмой;
EVTDESC36955;Британский коммодор, который недавно был отправлен в Бирму для переговоров по ряду вопросов, касающихся договора Яндабо, подписанного в 1826 году после Первой англо-бирманской войны, инициировал военно-морскую конфронтацию с бирманцами при сомнительных обстоятельствах. В то время как многие называют этого коммодора «иррациональным ура-патриотом», британцы не могут оставить это дело без большой потери престижа.;
EVTNAME36960;Договор Золотого Берега;
EVTDESC36960;Правительство $FROMCOUNTRY_ADJ$ обратилось к нам с надеждой заключить договор. Они хотят укрепить контроль над Золотым Берегом в Африке, в частности, путем аннексии нашей колонии в Секонди. Взамен они признают наши колониальные владения в других местах и ??будут поощрять более тесное сотрудничество между нашими странами.;
EVTNAME36965;Лагосская работорговля;
EVTDESC36965;Мы объявили работорговлю $COUNTRY_ADJ$ вне закона много лет назад, но она продолжается во многих африканских странах, и в частности в прибрежном городе Лагос. Лагос был убежищем для работорговцев, предоставляя невольным туземцам торговлю на рынках вопреки всем приличным условностям. Возникло мнение, что нам следует подумать об отправке наших кораблей для освобождения местных жителей и создания колонии, где они смогут получить цивилизованное управление.;
EVTNAME36966;$FROMCOUNTRY$ Захватывает Лагос!;
EVTDESC36966;Корабли $FROMCOUNTRY_ADJ$ вошли в Лагос, захватив город и отогнав гарнизон $COUNTRY_ADJ$. Они утверждают, что «освобождают» город от работорговцев, распространяя свое благожелательное правление от имени местных жителей. Сопротивление означает войну, но подчинение лишь докажет нашу неспособность противостоять этим иностранцам. Что нам делать?;
EVTNAME36970;Компания Суэцкого канала;
EVTDESC36970;После того, как «Международная комиссия по прокалыванию Суэцкого перешейка» завершила работу и оценила Суэцкий регион как возможность построить канал, остается только привести план в действие. Компания Суэцкого канала намеревается сделать именно это, но для того, чтобы это началось, ему необходимо собрать значительный объем капитала - поэтому он предлагал акции различным правительствам», надеясь также на то, что политическое влияние повлияет на Египет, чтобы он позволил предприятию продолжиться.;
EVTNAME36975;Интервенция в Египте?;
EVTDESC36975;Мы получили тревожные сообщения о мятеже в Египте, масштабы которого могут поставить под угрозу наши интересы в Суэце. Хотя некоторым, несомненно, может показаться, что мы используем это в качестве предлога, правительство $COUNTRY_ADJ$ не может бездействовать и смотреть, как невежды уничтожают такой важный проект. Мы должны рассмотреть вопрос о прямом вмешательстве.;
EVTNAME37219_NEW;Преследование французских миссионеров;
EVTDESC37219_NEW;Парижское общество иностранных миссий уже много лет активно распространяет католицизм в Азии, но сталкивается с серьезными преследованиями со стороны азиатских властей. В Дайнаме казнь нескольких миссионеров побудила общество обратиться к французскому правительству с просьбой о дипломатическом вмешательстве. Это ни к чему не привело, и у нас не осталось иного выбора, кроме как рассмотреть вопрос о вооруженном вмешательстве.;
