EVTDESC952508;Голландцы согласились на наши требования и передают нам право собственности на свои колонии на Золотом Берегу.;
EVTNAME952507;$FROMCOUNTRY_ADJ$ Отказ;
EVTDESC952507;Дипломаты $FROMCOUNTRY_ADJ$ сообщили нам, что их правительство отвергает наши самые разумные предложения и что их протекторат над султанатом Ачех будет сохраняться.;
EVT952507OPTA;Они пожалеют об этом.;
EVTDESC952506;Вернулись дипломаты $FROMCOUNTRY_ADJ$ со своими правительственными требованиями: они хотят часть наших прибрежных колоний в обмен на то, чтобы позволить нам беспрепятственно завоевать Ачех. Они не помогут нам завоевать Султанат, но, по крайней мере, не будут мешать нам и будут работать так, чтобы другие великие державы не мешали вам.;
EVT952505OPTB;Эти требования возмутительны! Мы никогда не согласимся на это.;
EVTNAME952506;Предложение $FROMCOUNTRY_ADJ$;
EVTNAME952505;Предложение Золотого Берега;
EVTDESC952505;Дипломаты $FROMCOUNTRY_ADJ$ вернулись со своими правительственными требованиями: они хотят получить владения на Золотом Берегу Африки, колонию, на которую они давно претендуют и которую жаждут, в обмен на то, что мы позволим нам беспрепятственно завоевать Ачех. Они не помогут нам завоевать Султанат, но, по крайней мере, не будут мешать нам и будут работать так, чтобы другие великие державы не мешали вам.;
EVTNAME952504;$FROMCOUNTRY_ADJ$ договорились;
EVTDESC952504;Дипломаты $FROMCOUNTRY_ADJ$ сообщают нам, что наша просьба удовлетворена, и что мы можем напасть на султанат Ачех. Они даже ничего не попросили взамен.;
EVT952504OPTA;Прекрасные новости! Примите необходимые меры.;
EVT952504OPTB;Нас это больше не интересует.;
EVTNAME952503;Голландское предложение;
EVTDESC952503;Голландцы обратились к нам по поводу нашего протектората в султанате Ачех. У нас давно были споры и вопросы о том, кто является законным защитником территорий, оккупированных султанатом Ачех и султанатом Сиак, а также о других возникающих конфликтах в Азии. Они готовы обменять с нами колонию и урегулировать наши споры, если мы откажемся от нашего протектората над Ачехом и закроем глаза, когда они попытаются его завоевать. \n \n §RПРИМЕЧАНИЕ. Если вы выберете второй вариант, убедитесь, что голландцы владеют провинциями на Золотом Берегу.§W;
EVT952503OPTA;Пусть берут, нам взамен ничего не нужно.;
EVT952503OPTB;Их владения на Золотом берегу могли бы стать хорошей сделкой.;
EVT952503OPTC;Подойдет любая колония.;
EVT952503OPTD;Ачех не продается.;
EVTNAME952502;Султанат Джамби;
EVTDESC952502;В прошлом небольшие конфликты с голландцами (индонезийские колониальные владения которых теперь национализированы как Голландская Ост-Индия), которые прочно обосновались в Палембанге, означали, что голландцы все больше чувствовали необходимость контролировать действия Джамби. Они вынудили султана Фачарудина согласиться на большее голландское присутствие в регионе и контроль над торговлей, хотя номинально султанат оставался независимым. В $YEAR$ голландцы, явно обеспокоенные риском конкуренции за контроль со стороны других иностранных держав, начали разрабатывать планы вторжения в Джамби из других своих индонезийских колоний.;
EVT952502OPTA;Джамби должен быть приведен в лоно.;
EVTNAME952501;Султанаты отказываются;
EVTDESC952501;Султанаты Джокьякарта и Суракарта отказались от нашего требования и изгнали наших дипломатов из своих дворов.;
EVT952501OPTA;Это требует немедленных действий.;
EVT952501OPTB;Лучше простить и забыть.;
EVTNAME952500;Голландский спрос;
EVTDESC952500;Голландцы требуют, чтобы мы подчинялись их прямому контролю как колониальная провинция, чтобы они могли принести нашему народу цивилизацию.;
EVT952500OPTA;У нас нет выбора, кроме как сдаться.;
EVT952500OPTB;Мы будем сражаться до последнего человека.;
EVTNAME60168006;$PROVINCENAME$ Темнеет;
EVTDESC60168006;Сегодня поступили сообщения о том, что уличные фонари и линии в $PROVINCENAME$ сильно повреждены в ходе стычек, произошедших с войсками противника. Линии и столбы были поражены артиллерийским огнем, повреждены пулями или умышленно перерезано снабжение, столбы вырыты и сбиты в попытке повернуть бой в свою пользу и скрыть свою позицию.;
EVT60168006OPTA;Определить план восстановления.;
EVTNAME60168005;Саботаж в $PROVINCENAME$;
EVTDESC60168005;В сумерках мимо железной дороги $PROVINCENAME$ торопливо проехал локомотив, а человеческие силуэты выскользнули из-под железной дороги. Они ударяли молотком по деревянным ключам, которые удерживали рельсы в стульях, направляя поезд на более извилистый путь, в то время как другие фигуры впереди перемещали предметы на рельсах. Поезд был разбит из-за того, что на повороте были поставлены предметы на высокие рельсы, и в нем находились тонны припасов для наших войск, сражающихся в провинции. Позже той же ночью один из наших железнодорожных мостов в $PROVINCENAME$ сгорел дотла, виновных не нашли. Эти действия считаются делом рук врага и серьезно повредили нашу железнодорожную сеть.;
EVT60168005OPTA;Незначительная неудача.;
EVTNAME60168004;$PROVINCENAME$ Форт поврежден;
EVTDESC60168004;Засвистели пули, как утро пришло в $PROVINCENAME$. Вражеские солдаты вступили в бой с нашими войсками на дорогах, их барабаны ревели вдалеке. Наш местный форт возглавлял оборону, солдаты по очереди приседали, чтобы перезарядить оружие, и вставали, чтобы стрелять по врагам. Группа вражеских диверсантов пробралась в одну из стен форта и сумела взорвать ее взрывчаткой, сильно повредив конструкцию форта.;
EVT60168004OPTA;Будем перестраивать.;
EVTOPTC441266;Да здравствует Либерия!;
EVTNAME98648;Продажа Зейлы;
EVTDESC98648;После ухода египтян с йеменского побережья в 1841 году Хадж Али Шермерки, успешный и амбициозный сомалийский торговец, предлагает приобрести исполнительные права на Зейлу.;
EVT98648OPTA;Соглашаться.;
EVT98648OPTB;Нам больше нужен город.;
EVTNAME3697006;Пионерская колонна;
EVTDESC3697006;Колонна пионеров была силой, созданной Сесилом Роудсом и его британской южноафриканской компанией в $YEAR$ и использованной им в его усилиях по аннексии территории Машоналенда. Родс стремился захватить Матабелеленд и Машоналенд раньше, чем немцы, португальцы или буры. Его первым шагом было убедить короля Матабеле Лобенгулу подписать договор, дающий ему право на добычу полезных ископаемых и управление (но не поселение как таковое) в районе Машоналенда, которым правил король, с использованием принуждения и кровавых набегов, связанных со сбором дани. и похищение молодых мужчин и женщин. Используя свою концессию между Британской южноафриканской компанией Родса и Лобенгулой, он затем запросил и получил хартию от британского правительства, позволяющую ему действовать. Колонна пересекла реку Тули в направлении Матабелеленда и остановилась на естественно ровном и заболоченном лугу, ограниченном крутым скалистым холмом, подняв флаг британского союза.;
EVT3697006OPTA;За $COUNTRY$!;
EVT3697006OPTB;Нашим пионерам!;
EVTNAME5000002;Польское восстание;
EVTDESC5000002;После того, как Россия потерпела поражение в войне, поляки, литовцы и другие меньшинства в России стали беспокойными. Восстание началось как стихийный протест молодых поляков против призыва в Императорскую российскую армию. Вскоре к нему присоединились высокопоставленные польско-литовские офицеры и различные политики. Только в Вильнюсе в $YEAR$ было проведено 116 демонстраций. Многие из этих манифестаций в Вильнюсе заканчивались столкновениями с Императорской Российской армией. Несмотря на вмешательство российской полиции и казаков, на мосту через Неман состоялась символическая встреча гимнов поляков и литовцев. Толпа пела «Боже, храни Польшу» на литовском и белорусском языках. Если мы присоединимся к Восстанию сейчас, мы сможем получить оружие и международную поддержку.;
EVTOPT5000002A;Поляки получат свободу.;
EVTOPT5000002B;Мы должны быть верными подданными.;
EVTNAME60055557;Крепостной вопрос;
EVTDESC60055557;Одной из основных причин, приведших к распространению Краковского восстания на наши польские земли, является крепостной вопрос. Современные народы уже отменили этот средневековый институт, который сохранился в нашей стране, и многие в нашей стране советуют, что сейчас самое время модернизировать $COUNTRY$, и первым шагом является отмена крепостного права. Однако остается вопрос, кому принадлежат земли, на которых работали крепостные. Аристократия утверждает, что земля принадлежит им, и крепостные должны найти свои земли, а крепостные утверждают, что земля принадлежит им по праву пользования.;
EVT60055557OPTA;Отдайте земли освобожденным крепостным.;
EVT60055557OPTB;Земля принадлежит аристократии.;
EVT60055557OPTC;Раздать земли крепостным, а дворянам выплатить компенсацию.;
EVT60055557OPTD;Не время отменять крепостное право.;
EVTNAME32533;Отступление;
EVTDESC32533;«На третий день на них со всех сторон напали маньчжуры, и последовала страшная бойня… Войска держались, и происходили ужасные сцены. Без еды, изуродованные и изрубленные, каждый заботившийся только о себе, всякое подчинение разбежалось, и солдаты сорок четвертого $COUNTRY_ADJ$ полка, как сообщают, сбили своих офицеров прикладами мушкетов. Всего через семь дней после начала отступления один человек, окровавленный и изодранный, верхом на жалком пони, преследуемый всадниками, яростно мчался по равнине к Побережью. Единственный выживший, рассказавший о засаде в Сахалин-Уле.'\nНаши попытки изгнать маньчжуров из Внешней Маньчжурии встретили ожесточенное сопротивление, и наши войска понесли серьезный удар, пытаясь изгнать их.;
EVT32533OPTA;Драт.;
EVTNAME32532;Маньчжуры изгнаны из Внешней Маньчжурии;
EVTDESC32532;В $YEAR$ я был расквартирован во Внешней Маньчжурии. Из $CAPITAL$ поступил приказ о депортации вглубь маньчжур, населявших приграничные города и села. Тогда говорили, что это всего лишь мера предосторожности. Я видел в это время большие конвои маньчжур, выходящие из Внешней Маньчжурии. В основном это были старики, женщины и дети. Некоторые из трудоспособных мужчин были завербованы в китайскую армию, и многие бежали в Россию. Погромы еще не начались. Позднее поступил приказ о депортации в Китай всех маньчжур во Внешней Маньчжурии. Место назначения всех этих маньчжуров — Нингута. Там их держат скученно во всех свободных свободных домах, храмах, дворах и открытых площадках. Их состояние в Нингуте невозможно описать. Я лично посетил несколько мест, где они содержались, и обнаружил, что они голодают и умирают сотнями каждый день. Наши усилия по изгнанию маньчжур из Внешней Маньчжурии окупились. Внешняя Маньчжурия теперь ближе к нам, чем когда-либо прежде.;
EVT32532OPTA;Во Славу $COUNTRY$!;
EVTNAME441266;Колония Либерия;
EVTDESC441266;В 1820 году Американское колонизационное общество (ACS) начало отправлять афроамериканских добровольцев на Перечный берег, чтобы основать колонию для освобожденных афроамериканцев. ACS, частная организация, поддерживаемая видными американскими политиками, такими как Авраам Линкольн, Генри Клей и Джеймс Монро, считала, что репатриация предпочтительнее освобождения рабов, и они основали колонию на территории, известной как Либерия. Колония Либерия была бедна и экономически зависела от ACS, в результате чего к 1840-м годам ACS фактически обанкротилась: Либерия стала для нее финансовым бременем. Когда Американское колонизационное общество заявило, что Либерия должна прекратить свою зависимость от него, Джозеф Робертс, первый темнокожий губернатор колонии, провозгласил ее независимой республикой в ??$YEAR$.;
EVTOPTA441266;Мы признаем независимость Либерии.;
EVTOPTB441266;Заплатите их долги и сохраните колонии.;
EVTNAME98647;Король меха и король рабов;
EVTDESC98647;Район, известный как Бахр-эль-Газаль в Южном Судане, долгое время был источником товаров, которыми Дарфур торговал с Египтом и Северной Африкой, особенно рабов и слоновой кости. Туземцы Бахр-эль-Газаля платили дань Дарфуру, и это были основные товары, продаваемые дарфурцами египетским торговцам по дороге в Асьют. Аль-Зубайр перенаправил этот поток товаров в Хартум и Нил, завоевав Южный Судан. Теперь султан Дарфура Ибрагим оскорбил и бросил вызов аз-Зубайру, который объединился со своими бывшими врагами египтянами.;
EVT98647OPTA;Они заплатят за это.;
EVT98647OPTB;Отпусти ситуацию.;
EVTNAME98646;Торговая империя Аль-Зубайра;
EVTDESC98646;Отсутствие формальной власти в Южном Судане, на которое претендовал Египет, было восполнено в 1850-х годах группой могущественных торговых принцев. На востоке Мухаммад Ахмад аль-Аккад контролировал большую часть земли, но самым могущественным был Аль-Зубайр Рахма Мансур, который пришел, чтобы контролировать Бахр-эль-Газаль и другие части Южного Судана. Аль-Зубайр был торговцем из Хартума, который нанял собственную частную армию и двинулся на юг. Он создал в регионе сеть торговых фортов, известных как зарибас, и из этих фортов контролировал местную торговлю. Для управления торговлей аз-Зубайр нуждался в рабочей силе, поэтому также начал захватывать значительное количество рабов. К своим наемникам он призвал большую армию рабов.;
EVT98646OPTA;Нам нужно смириться с ним на данный момент.;
EVTNAME98645;Восстание махдистов увенчалось успехом;
EVTDESC98645;Махдисты в Судане месяцами удерживали Хартум, и их восстание бушевало в Судане. После того, как нам не удалось их подавить, они провозглашают независимость и формируют новое фундаменталистское государство в Судане.;
EVT98645OPTA;Варвары.;
EVT98645OPTB;Да здравствует халиф!;
EVTNAME955180;$FROMCOUNTRY$ Отказывает;
EVTDESC955180;$FROMCOUNTRY$ отказывается от наших требований, не оставляя другого выхода, кроме прямого военного вмешательства.;
EVT955180OPTA;Они пожалеют об этом.;
EVTNAME955179;$FROMCOUNTRY$ Принимает;
EVTDESC955179;$FROMCOUNTRY$ приняло наше предложение, и сейчас мы создаем правительственные структуры для осуществления прямого контроля над Суданом.;
EVT955179OPTA;Да здравствует $COUNTRY$!;
EVTNAME955178;$FROMCOUNTRY$ Спрос;
EVTDESC955178;Иностранцы $FROMCOUNTRY$ считают нашу нацию недостаточно стабильной и предлагают стабилизировать Судан. Взамен они дали бы нам советников и помогли бы нам модернизировать нашу страну. Отказ может привести к тому, что они поддержат суданских повстанцев в попытке разделять и властвовать.;
EVT955178OPTA;Мы принимаем.;
EVT955178OPTB;Нам не нужна их помощь.;
EVTNAME955177;Гегемония над Нилом;
EVTDESC955177;Египет был нестабилен в течение некоторого времени, и стратеги в наших странах считают, что пришло время действовать. Проводя политику «разделяй и властвуй», они стремятся повернуть вспять начатый при Мухаммеде Али процесс объединения долины Нила под руководством Египта и стремились сорвать все усилия, направленные на дальнейшее объединение двух стран. Они утверждают, что это было бы очень выгодно для нашей страны и устранило бы угрозу для наших интересов в этом районе, сделав их более слабыми и зависимыми от нас. В обмен на их сотрудничество мы будем помогать нашим союзникам советниками и технологиями.;
EVT955177OPTA;Судан должен находиться под нашим непосредственным контролем.;
EVT955177OPTB;Нет необходимости действовать.;
EVTNAME49517;Смерть Сошангане;
EVTDESC49517;Смерть Сошангане, вождя Газы, заставила его хрупкое вождество погрузиться в спираль хаоса, когда его сыновья, Мзила и Мавеве, сражались за трон. Армии Сошангане, которые когда-то захватили португальские поселения в заливе Делагоа, Иньямбане и Сена, теперь обращают свой взор внутрь, поскольку вождество медленно приближается к гражданской войне. Само собой разумеется, что это оптимальная возможность вернуть часть этих земель, и несколько человек в колониях уже начали пользоваться этой ситуацией.;
EVT49517OPTA;Расширим Империю $COUNTRY_ADJ$.;
EVTNAME49516;Лоренсу Маркес;
EVTDESC49516;На северном берегу эстуария Эсприто-Санту в заливе Делагоа, входе в Индийский океан, Лоуренсо-Маркиш был назван в честь португальского мореплавателя. Форты и торговые станции, которые португальцы построили, бросили и снова заняли на северном берегу реки, все назывались Лоренсу-Маркес. Наше предыдущее поселение в этом районе было полностью разрушено туземцами, и теперь пришло время вернуть его. Наши советники говорят нам, что на данный момент достаточно отправить военную экспедицию для захвата города. Они также сообщают, что город Иньямбане, разрушенный Сошангане в 1834 году, был восстановлен и процветал, что позволило нам снова установить контроль над окружающими его территориями.;
EVT49516OPTA;Лоренсу Маркес когда-то был нашим и будет снова!;
EVTNAME49514;Султанат Матака;
EVTDESC49514;Несколько лет назад европейская экспедиция в сопровождении черных проводников и рабочих вошла в земли Мвембе с не до конца понятной целью, теоретически в направлении озера Ньясса. Где-то на территории Яо экспедиция попала в засаду, европейцы были убиты, а африканцы обращены в рабство. Среди вайао говорят, что Се Бвономали проглотил голову командира после того, как посыпал ее перцем пири-пири и заявил, что это «рыба». Также говорят, что он сохранил череп, который теперь служил для совершения возлияний, передав это наследство своему преемнику, и что отныне все матаки использовали для той же цели. \n Наши военачальники предложили расплату в виде военной экспедиции против этих варваров, чтобы мы могли взять эту нецивилизованную территорию под свой контроль.;
EVT49514OPTA;Это терпеть не может.;
EVT49514OPTB;Может быть, нам не стоит связываться с ними.;
EVTNAME3697005;Канадская граница;
EVTDESC3697005;С другими странами, граничащими с территорией, на которую мы претендуем в Канаде, безопаснее будет контролировать пустые приграничные провинции, чтобы мы могли быть уверены, что территориальная целостность Канады не будет нарушена.;
EVT3697003OPTA;Мы должны защищать наши интересы.;
EVTNAME441255;Форт Ванкувер;
EVTDESC441255;С тех пор, как мы приобрели Вашингтон, форт Ванкувер потерял свое значение и оказался в тени других поселений в этом районе. Из них один под названием Сиэтл, похоже, набирает обороты, и несколько политиков предложили нам сделать это поселение новой столицей региона.;
EVTOPTA441255;Движение несет.;
EVTOPTB441255;Ходатайство отклонено.;
EVTNAME34612;Конституция Пруссии;
EVTDESC34612;Пытаясь потушить пламя революции, Фридрих Вильгельм своим авторитетом в $YEAR$ издал первую конституцию Пруссии. Этот документ — умеренный по меркам того времени, но консервативный по сегодняшним меркам — предусматривал двухпалатный парламент. Нижняя палата, или ландтаг, избиралась всеми налогоплательщиками, которые делились на три класса, голоса которых взвешивались в соответствии с суммой уплаченных налогов. Женщины и те, кто не платил налоги, не имели права голоса. Это позволило чуть более одной трети избирателей выбрать 85% законодательных органов, почти обеспечив доминирование более состоятельных мужчин населения.;
EVTOPTA34612;Мы приветствуем эти изменения.;
EVTOPTB34612;Отказаться от Конституции.;
EVTNAME96171;Герцогство Лукка;
EVTDESC96171;Нужда в деньгах побудила герцога Луккского по совету Уорда, ставшего министром финансов, потребовать налоговых льгот для титулов, датируемых тридцатилетней давностью. Все это вызвало общее недовольство. Либеральное движение начало расти в Лукке, где в $YEAR$ прошла серия демонстраций, закончившихся полномасштабным беспорядком. Сначала герцог Шарль Людовик пытался утвердить свою власть, но непрекращающиеся беспорядки вынудили его укрыться на вилле Сан-Мартино-ин-Виньяле. Встревоженный видом толпы, которая хотела провести некоторые реформы, он подписал ряд уступок. Через три дня под давлением многих горожан он вернулся в Лукку, где его торжественно встретили. Однако он не смог справиться с давлением и уехал в Модена. Оттуда он издал указ о преобразовании Государственного совета в Регентский совет. Через несколько дней он отрекся от престола в пользу правителя $COUNTRY$.;
EVTOPTA96171;Хорошие новости!;
EVTNAME16452;Отмена рабства;
EVTDESC16452;Раздел 1. Ни рабство, ни подневольный труд, за исключением случаев наказания за преступление, за совершение которого сторона должна быть должным образом осуждена, не должны существовать в Соединенных Штатах или в любом месте, находящемся под их юрисдикцией.\n Раздел 2. Конгресс имеет право применять эту статью соответствующим законодательством.\n\nС окончанием войны Конгресс разработал Тринадцатую поправку к Конституции Соединенных Штатов, касающуюся формальной отмены рабства. Сторонники аболиционизма утверждают, что это превратит нашу «наполовину рабскую и наполовину свободную» страну в страну, в которой конституционно гарантированные «благословения свободы» будут распространены на все население, включая бывших рабов и их потомков.;
EVTOPTA16452;Пусть это темное дело закончится здесь.;
EVTOPTB16452;Война окончена, мы можем делать, что хотим.;
EVTNAME33039;Вторжение на Рейн;
EVTDESC33039;Они стоят, сто тысяч человек,\nБыстро мстят за зло своей страны,\nС сыновней любовью их груди набухают\nОни будут хорошо охранять священную достопримечательность.\nПока еще остается одно дыхание жизни,\nПока еще один кулак может вытащить нож ,\nОдно ружье все еще стреляет одной рукой,\nНи один враг не устоит на этом рейнском песке.\n\n$COUNTRY$ призывает к национальному единству против иностранной агрессии на землях, которые считаются немецкими. В Германской Конфедерации быстро растет национализм.;
EVTNAME33038;Вторжение на Рейн;
EVTDESC33038;Поскольку Рейн был взят иностранной агрессией, немецкий национализм достиг критической точки. Был поставлен вопрос, должны ли мы стоять вместе с нашими немецкими братьями и объединяться для защиты нашей земли, или мы будем продолжать разделяться.;
EVT33038OPTA;Мы вместе на благо Германии.;
EVT33038OPTB;Наш путь не совместный.;
EVT33038OPTC;За Германию!;
EVT33039OPTB;Север и Юг должны идти вместе!;
EVTNAME33037;Рейнский вопрос;
EVTDESC33037;Территории левого берега Рейна, завоеванные французскими войсками в 1795 году, были возвращены под контроль Германии (в основном прусской) после Венского конгресса 1815 года, в результате чего была образована Рейнская провинция. В $YEAR$ Франция переключила свое внимание на Рейн, и французское правительство во главе с Адольфом Тьером вновь заявило о своих претензиях на районы на левом берегу, чтобы восстановить Рейн в качестве естественной границы.;
EVT33037OPTA;Рейн является естественной восточной границей Франции.;
EVT33037OPTB;Передайте извинения немцам.;
EVT33037OPTC;Давайте пойдем дальше этого утверждения.;
EVTNAME3697002;Немецкие амбиции в Африке;
EVTDESC3697002;Немцы все чаще и чаще совершали экспедиции в Западную Африку в районе Капской колонии. Каждый день они находили города и называли места. Если мы хотим предотвратить немецкие амбиции в регионе и обеспечить безопасный проход британских кораблей вокруг мыса, нам необходимо обезопасить Эзоронгондо.;
EVT3697002OPTA;Это для лучших.;
EVTNAME19355;Великие войны;
EVTDESC19355;Нам предстоит самое тяжелое испытание. Впереди у нас много-много месяцев борьбы и страданий. Вы спросите, какова наша политика? Я говорю, что это вести войну на суше, на море и в воздухе. Война со всей нашей мощью и со всей силой, данной нам Богом, и вести войну против чудовищной тирании, никогда не превзойденной в темном и прискорбном перечне человеческих преступлений. Это наша политика. Вы спросите, какова наша цель? Могу ответить одним словом. Это победа. Победа во что бы то ни стало — Победа вопреки всем ужасам — Победа, какой бы длинной и трудной ни была дорога, ибо без победы нет выживания. \n \n Растущая национальная гордость в странах по всему миру достигла точки, когда люди не примут ничего, кроме полной победы, когда столкнутся великие державы. Отныне любой конфликт с участием как минимум двух великих держав с каждой стороны будет считаться Великой войной.;
EVTOPTA19355;Боже, помоги нам всем.;
EVTOPTA4435;О всех неприемлемых культурах в наших колониях.;
EVTOPTB4435;О всех непринятых культурах на нашей родине.;
EVTOPTC4435;Один о всех неприемлемых культурах повсюду в нашей стране.;
EVTNAME4434;Религиозные меньшинства;
EVTDESC4434;Наши официальные лица сообщают, что меньшинства, с которыми они имели дело, были религиозными меньшинствами. Они подготовили официальные цифры, но не помнят, какую книгу они должны получить.;
EVTOPTA4434;О всех негосударственных религиях в наших колониях.;
EVTOPTB4434;О всех негосударственных религиях на нашей родине.;
EVTOPTC4434;Один о всех негосударственных религиях повсюду в нашей стране.;
EVTOPTD4434;Мы выбрали определенную религию.;
EVTOPTE4434;Что-то не так, это не здесь.;
EVTNAME4433;Проблема меньшинств;
EVTDESC4433;Наши официальные лица сообщают, что все готово. Все произошло, как и планировалось, и наши проблемы с меньшинствами уже решены. Но с кем мы снова имели дело?;
EVTOPTA4433;Религиозные меньшинства.;
EVTOPTB4433;Культурные меньшинства.;
EVTNAME4432;Уолфиш-Бей;
EVTDESC4432;Все больше и больше людей стекаются в Эзоронгондо, и они стали называть его на всех языках Китовой бухтой или Уолфиш-Бей.;
EVTOPTA4432;Тогда лучше переименовать.;
EVTNAME85031;Иностранные претензии;
EVTDESC85031;Хорошо это или плохо, но вопрос иностранных претензий в Корее решен.;
EVT85031OPTA;Этот вопрос решен, наконец.;
EVTNAME44124;Закон штата Массачусетс о детском труде;
EVTDESC44124;Сегодня в Массачусетсе был принят новый Закон о детском труде, который ограничивает рабочий день детей до 10 часов и налагает серьезные ограничения на работу, которую они могут выполнять, а также вводит обязательное посещение школы. Несколько других штатов приняли аналогичные законы после Массачусетса, и с этой возможностью мы могли сделать его федеральным законом.;
EVTOPTA44124;Хорошая идея!;
EVTOPTB44124;Нашим детям это не нужно.;
EVTNAME4431;Рабочая революция;
EVTDESC4431;Пришло время завершить рабочую революцию. Мы вытащим жирных котов из их укрытий и захватим богатства, полученные ими от эксплуатации пролетариата! Будут ли они трудиться, как трудились поколения угнетенных, или же они слишком увязли в своих капиталистических привычках и могут подвергнуть революцию опасности?;
EVTOPTA4431;Заставьте их работать, как никогда раньше!;
EVTOPTB4431;Революция не может подвергаться опасности. Нам нужно избавиться от них.;
